User/index###5b1754d09398f###2018-10-01 11:37:24###{"code":"001Bk55c2c33rO06hK2c26up5c2Bk55u"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"userid":"158","position":"1","person":"1","company":"0"}}###{"code":"001Bk55c2c33rO06hK2c26up5c2Bk55u"}###null###null###null###null
User/getinfo###5b2dbbb04457b###2018-10-01 11:37:24###{"userid":"158","username":"\u98ce\u534e","userphoto":"https:\/\/wx.qlogo.cn\/mmopen\/vi_32\/DYAIOgq83eoXoshZdULGY68a9wIkaUTNoh3vs3XNlkFf0o9PLdlOic6d6f6ACjaNfk5DXmibEIGB5U6SPJyWQwMA\/132"}###null###null###V2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":"\u83b7\u53d6\u6210\u529f"}###{"userid":"158","username":"\u98ce\u534e","userphoto":"https:\/\/wx.qlogo.cn\/mmopen\/vi_32\/DYAIOgq83eoXoshZdULGY68a9wIkaUTNoh3vs3XNlkFf0o9PLdlOic6d6f6ACjaNfk5DXmibEIGB5U6SPJyWQwMA\/132"}###null###null###null###null
Index/location###5b21fee04cd72###2018-10-01 11:37:25###{"lng":"114.56157","lat":"38.069029"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u7d2b\u6676\u60a6\u57ce(\u897f\u5317\u533a)"}}###{"lng":"114.56157","lat":"38.069029"}###null###null###null###null
Index/index###5b1781ee5e479###2018-10-01 11:37:26###{"city":"130100","position":"1"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054323.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060833.jpg","linkurl":""}],"recommend":[{"id":"49","title":"\u53d1\u5355\u5458","wage":"60","end_date":"2021-07-26","payment_type":"2","area":"\u88d5\u534e\u533a","type":"\u5468\u7ed3"},{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150","end_date":"2026-07-12","payment_type":"3","area":"\u85c1\u57ce\u533a","type":"\u6708\u7ed3"}],"hot":[{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150"},{"id":"49","title":"\u53d1\u5355\u5458","wage":"60"}]}}###{"city":"130100","position":"1"}###null###null###null###null
Personcenter/getusername###5b3042c03d6ef###2018-10-01 11:37:30###{"position":"1","userid":"158"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"realname":"\u5723\u4e00\u54f2"}}###{"position":"1","userid":"158"}###null###null###null###null
Personcenter/about###5b3b1c670e126###2018-10-01 11:37:39###{"str":"fdf"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"content":"\u8fd9\u662f\u4e00\u4e2a\u5f88\u597d\u7684\u5c0f\u7a0b\u5e8f"}}###{"str":"fdf"}###null###null###null###null
Personcenter/getusername###5b3042c03d6ef###2018-10-01 11:37:40###{"position":"1","userid":"158"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"realname":"\u5723\u4e00\u54f2"}}###{"position":"1","userid":"158"}###null###null###null###null
Personcenter/switchidentity###5b31e8299f2b6###2018-10-01 11:37:58###{"userid":"158","identity":"1"}###null###null######null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"msg":"\u5207\u6362\u6210\u529f"}}###{"userid":"158","identity":"1"}###null###null###null###null
Index/location###5b21fee04cd72###2018-10-01 11:37:59###{"lng":"114.561543","lat":"38.069029"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u7d2b\u6676\u60a6\u57ce(\u897f\u5317\u533a)"}}###{"lng":"114.561543","lat":"38.069029"}###null###null###null###null
Index/index###5b1781ee5e479###2018-10-01 11:37:59###{"city":"130100","position":"1"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054323.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060833.jpg","linkurl":""}],"recommend":[{"id":"49","title":"\u53d1\u5355\u5458","wage":"60","end_date":"2021-07-26","payment_type":"2","area":"\u88d5\u534e\u533a","type":"\u5468\u7ed3"},{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150","end_date":"2026-07-12","payment_type":"3","area":"\u85c1\u57ce\u533a","type":"\u6708\u7ed3"}],"hot":[{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150"},{"id":"49","title":"\u53d1\u5355\u5458","wage":"60"}]}}###{"city":"130100","position":"1"}###null###null###null###null
Personcenter/getusername###5b3042c03d6ef###2018-10-01 11:38:00###{"position":"1","userid":"158"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"realname":"\u5723\u4e00\u54f2"}}###{"position":"1","userid":"158"}###null###null###null###null
