User/index###5b1754d09398f###2018-10-27 19:46:07###{"code":"021bBKZs1zCuyd0MkI2t1eE30t1bBKZH"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"userid":"37","position":"1","person":"1","company":"1"}}###{"code":"021bBKZs1zCuyd0MkI2t1eE30t1bBKZH"}###null###null###null###null
User/getinfo###5b2dbbb04457b###2018-10-27 19:46:08###{"userid":"37","username":"XF","userphoto":"https:\/\/wx.qlogo.cn\/mmopen\/vi_32\/DYAIOgq83eq3z4DAGCHf2C3hMAw9OREXVkPSP4EwnOSH1NNLiagalDajTWr6IzmgfsbTvbl8xQmGSTpH18axhTg\/132"}###null###null###V2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":"\u83b7\u53d6\u6210\u529f"}###{"userid":"37","username":"XF","userphoto":"https:\/\/wx.qlogo.cn\/mmopen\/vi_32\/DYAIOgq83eq3z4DAGCHf2C3hMAw9OREXVkPSP4EwnOSH1NNLiagalDajTWr6IzmgfsbTvbl8xQmGSTpH18axhTg\/132"}###null###null###null###null
Index/location###5b21fee04cd72###2018-10-27 19:46:10###{"lng":"114.513155","lat":"38.019568"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u4e1c\u5c97\u6021\u56ed"}}###{"lng":"114.513155","lat":"38.019568"}###null###null###null###null
Index/index###5b1781ee5e479###2018-10-27 19:46:11###{"city":"130100","position":"1"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054323.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060833.jpg","linkurl":""}],"recommend":[{"id":"49","title":"\u53d1\u5355\u5458","wage":"60","end_date":"2021-07-26","payment_type":"2","area":"\u88d5\u534e\u533a","type":"\u5468\u7ed3"},{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150","end_date":"2026-07-12","payment_type":"3","area":"\u85c1\u57ce\u533a","type":"\u6708\u7ed3"}],"hot":[{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150"},{"id":"49","title":"\u53d1\u5355\u5458","wage":"60"}]}}###{"city":"130100","position":"1"}###null###null###null###null
Index/zhaopininfo###5b28e641e3829###2018-10-27 19:46:14###{"id":"49","userid":"37"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"id":"49","title":"\u53d1\u5355\u5458","position_id":"1","phone":"13503333962","wage":"60","payment_type":"2","type":"\u5468\u7ed3","end_date":"2021-07-26","job_start":"2018-07-02","job_end":"2018-08-30","worktime":"7:00\u81f39:00","lng":"114.56129","lat":"38.006023","address":"\u5353\u8fbe\u522b\u5885\u533a(\u5353\u8fbe\u522b\u5885\u533a\u5854\u5357\u8def\u535750\u7c73)","descript":"\u53d1\u653e\u4f20\u5355\u4ecb\u7ecd\u6563\u5de5\u8054\u76df\u8f6f\u4ef6\u8ba9\u4eba\u6ce8\u518c\u53d1\u5e03\u4fe1\u606f","realname":"\u77f3\u5bb6\u5e84\u79d1\u4e49\u901a\u4fe1\u5de5\u7a0b\u6709\u9650\u516c\u53f8","userphoto":"https:\/\/wx.qlogo.cn\/mmopen\/vi_32\/Q0j4TwGTfTL9ib4K1eHSmaSrr0zGOVqaYcLmrNC8PNrm675iaNicFuMAib2XFwE2icXZOvG4nIvT9LKkianjDmkjeJYA\/132","collect":"0"}}###{"id":"49","userid":"37"}###null###null###null###null
Personcenter/collect###5b18cc03eb0b2###2018-10-27 19:46:17###{"userid":"37","id":"49","type":"2"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"collect":1}}###{"userid":"37","id":"49","type":"2"}###null###null###null###null
Personcenter/collect###5b18cc03eb0b2###2018-10-27 19:46:18###{"userid":"37","id":"49","type":"2"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"collect":0}}###{"userid":"37","id":"49","type":"2"}###null###null###null###null
Personcenter/myfabu###5b18ed9268835###2018-10-27 19:46:24###{"userid":"37","type":"1"}###null###null######null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[{"rid":"38","title":"\u627e\u4e00\u4e2a\u9500\u552e\u7684\u5de5\u4f5c","payment_type":"1","type":"\u65e5\u7ed3","end_date":"\u957f\u671f\u6709\u9650","wage":"100","status":"1","region":"\u88d5\u534e\u533a"}]}###{"userid":"37","type":"1"}###null###null###null###null
Personcenter/signup###5b1f65e60cd60###2018-10-27 19:46:26###{"userid":"37","reid":"49","jianliid":"38"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"jianli":1,"baoming":1}}###{"userid":"37","reid":"49","jianliid":"38"}###null###null###null###null
Personcenter/signup###5b1f65e60cd60###2018-10-27 19:46:30###{"userid":"37","reid":"49","jianliid":"38"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"jianli":1,"baoming":2}}###{"userid":"37","reid":"49","jianliid":"38"}###null###null###null###null
Index/zhaopininfo###5b28e641e3829###2018-10-27 19:46:36###{"id":"49","userid":"37"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"id":"49","title":"\u53d1\u5355\u5458","position_id":"1","phone":"13503333962","wage":"60","payment_type":"2","type":"\u5468\u7ed3","end_date":"2021-07-26","job_start":"2018-07-02","job_end":"2018-08-30","worktime":"7:00\u81f39:00","lng":"114.56129","lat":"38.006023","address":"\u5353\u8fbe\u522b\u5885\u533a(\u5353\u8fbe\u522b\u5885\u533a\u5854\u5357\u8def\u535750\u7c73)","descript":"\u53d1\u653e\u4f20\u5355\u4ecb\u7ecd\u6563\u5de5\u8054\u76df\u8f6f\u4ef6\u8ba9\u4eba\u6ce8\u518c\u53d1\u5e03\u4fe1\u606f","realname":"\u77f3\u5bb6\u5e84\u79d1\u4e49\u901a\u4fe1\u5de5\u7a0b\u6709\u9650\u516c\u53f8","userphoto":"https:\/\/wx.qlogo.cn\/mmopen\/vi_32\/Q0j4TwGTfTL9ib4K1eHSmaSrr0zGOVqaYcLmrNC8PNrm675iaNicFuMAib2XFwE2icXZOvG4nIvT9LKkianjDmkjeJYA\/132","collect":"0"}}###{"id":"49","userid":"37"}###null###null###null###null
