User/index###5b1754d09398f###2018-08-21 17:04:41###{"code":"023g4a4X1VREBU01pZ7X1SYq4X1g4a4v"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"userid":"24","position":"1","person":"1","company":"1"}}###{"code":"023g4a4X1VREBU01pZ7X1SYq4X1g4a4v"}###null###null###null###null
User/getinfo###5b2dbbb04457b###2018-08-21 17:04:41###{"userid":"24","username":"\u5317","userphoto":"https:\/\/wx.qlogo.cn\/mmopen\/vi_32\/UaquZpiaK8ia0EOia7h6oPl3Cg6n9Ev7Yl21yhpUH6KHzEkUicBEIibwn6v7KzIzolclHXz8uK2iatEER9jG6umIaA1Q\/132"}###null###null###V2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":"\u83b7\u53d6\u6210\u529f"}###{"userid":"24","username":"\u5317","userphoto":"https:\/\/wx.qlogo.cn\/mmopen\/vi_32\/UaquZpiaK8ia0EOia7h6oPl3Cg6n9Ev7Yl21yhpUH6KHzEkUicBEIibwn6v7KzIzolclHXz8uK2iatEER9jG6umIaA1Q\/132"}###null###null###null###null
Index/location###5b21fee04cd72###2018-08-21 17:04:43###{"lng":"114.547044","lat":"37.993658"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u51e4\u51f0\u57ce\u00b7\u68a7\u6850\u82d1\u5357\u533a"}}###{"lng":"114.547044","lat":"37.993658"}###null###null###null###null
Index/index###5b1781ee5e479###2018-08-21 17:04:43###{"city":"130100","position":"1"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054323.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060833.jpg","linkurl":""}],"recommend":[{"id":"49","title":"\u53d1\u5355\u5458","wage":"60","end_date":"2021-07-26","payment_type":"2","area":"\u88d5\u534e\u533a","type":"\u5468\u7ed3"},{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150","end_date":"2026-07-12","payment_type":"3","area":"\u85c1\u57ce\u533a","type":"\u6708\u7ed3"}],"hot":[{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150"},{"id":"49","title":"\u53d1\u5355\u5458","wage":"60"}]}}###{"city":"130100","position":"1"}###null###null###null###null
Personcenter/getusername###5b3042c03d6ef###2018-08-21 17:04:47###{"position":"1","userid":"24"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"realname":"\u5f20"}}###{"position":"1","userid":"24"}###null###null###null###null
Personcenter/switchidentity###5b31e8299f2b6###2018-08-21 17:04:52###{"userid":"24","identity":"1"}###null###null######null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"msg":"\u5207\u6362\u6210\u529f"}}###{"userid":"24","identity":"1"}###null###null###null###null
Index/location###5b21fee04cd72###2018-08-21 17:04:53###{"lng":"114.547044","lat":"37.993658"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u51e4\u51f0\u57ce\u00b7\u68a7\u6850\u82d1\u5357\u533a"}}###{"lng":"114.547044","lat":"37.993658"}###null###null###null###null
Index/index###5b1781ee5e479###2018-08-21 17:04:54###{"city":"130100","position":"1"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054323.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060833.jpg","linkurl":""}],"recommend":[{"id":"49","title":"\u53d1\u5355\u5458","wage":"60","end_date":"2021-07-26","payment_type":"2","area":"\u88d5\u534e\u533a","type":"\u5468\u7ed3"},{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150","end_date":"2026-07-12","payment_type":"3","area":"\u85c1\u57ce\u533a","type":"\u6708\u7ed3"}],"hot":[{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150"},{"id":"49","title":"\u53d1\u5355\u5458","wage":"60"}]}}###{"city":"130100","position":"1"}###null###null###null###null
Personcenter/getusername###5b3042c03d6ef###2018-08-21 17:05:07###{"position":"1","userid":"24"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"realname":"\u5f20"}}###{"position":"1","userid":"24"}###null###null###null###null
Personcenter/mycollect###5b18dc36ef7c6###2018-08-21 17:05:08###{"userid":"24","type":"2"}###null###null######null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"userid":"24","type":"2"}###null###null###null###null
Personcenter/getusername###5b3042c03d6ef###2018-08-21 17:05:10###{"position":"1","userid":"24"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"realname":"\u5f20"}}###{"position":"1","userid":"24"}###null###null###null###null
