User/index###5b1754d09398f###2018-07-29 15:49:07###{"code":"021uCLd52CXZkM0DAad52bYmd52uCLd-"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"userid":"141","position":"1","person":"0","company":"0"}}###{"code":"021uCLd52CXZkM0DAad52bYmd52uCLd-"}###null###null###null###null
User/getinfo###5b2dbbb04457b###2018-07-29 15:49:07###{"userid":"141","username":"rdgztest_92072","userphoto":"https:\/\/wx.qlogo.cn\/mmopen\/vi_32\/Q0j4TwGTfTKYX2RJXSickW7yqIiayAVrMxGwrBbfvjiaXsSUzRWs0Xr3jKlicsoSXnOtCrnwNCWULqTEeSb30vc5wA\/132"}###null###null###V2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":"\u83b7\u53d6\u6210\u529f"}###{"userid":"141","username":"rdgztest_92072","userphoto":"https:\/\/wx.qlogo.cn\/mmopen\/vi_32\/Q0j4TwGTfTKYX2RJXSickW7yqIiayAVrMxGwrBbfvjiaXsSUzRWs0Xr3jKlicsoSXnOtCrnwNCWULqTEeSb30vc5wA\/132"}###null###null###null###null
Index/location###5b21fee04cd72###2018-07-29 15:49:08###{"lng":"113.3581314086914","lat":"23.135393142700195"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"440100","location":"\u5e7f\u4e1c\u7535\u4fe1\u79d1\u6280\u5927\u53a6"}}###{"lng":"113.3581314086914","lat":"23.135393142700195"}###null###null###null###null
Index/index###5b1781ee5e479###2018-07-29 15:49:08###{"city":"440100","position":"1"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054323.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060833.jpg","linkurl":""}],"recommend":[{"id":"49","title":"\u53d1\u5355\u5458","wage":"60","end_date":"2021-07-26","payment_type":"2","area":"\u88d5\u534e\u533a","type":"\u5468\u7ed3"},{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150","end_date":"2026-07-12","payment_type":"3","area":"\u85c1\u57ce\u533a","type":"\u6708\u7ed3"},{"id":"36","title":"\u62db\u8058\u88c1\u5224","wage":"200","end_date":"2018-08-09","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"}],"hot":[{"id":"36","title":"\u62db\u8058\u88c1\u5224","wage":"200"},{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150"}]}}###{"city":"440100","position":"1"}###null###null###null###null
Index/zhaopininfo###5b28e641e3829###2018-07-29 15:49:11###{"id":"44","userid":"141"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","position_id":"10","phone":"18733168876","wage":"150","payment_type":"3","type":"\u6708\u7ed3","end_date":"2026-07-12","job_start":"2018-07-12","job_end":"2026-07-12","worktime":"7:30\u81f318:30","lng":"114.66447","lat":"37.998737","address":"\u714a\u660e\u5bb6\u5177(\u77f3\u5bb6\u5e84\u5e02\u85c1\u57ce\u533a\u65b0\u4e30\u8857)","descript":"\u62db\uff01\u7f1d\u7eab\u5de5\uff0c\u526f\u5de5\uff0c\u8ba1\u4ef6\u6708\u7ed3\u3002","realname":"\u4e30\u8bda\u5236\u8863\u5382","userphoto":"https:\/\/wx.qlogo.cn\/mmopen\/vi_32\/Q0j4TwGTfTLVXDichWibE4lILicmHtvSeCTgOljqsz0CJn9t3uFGBKZG4XgQysiabLFGgJsJCV57GG97nS4MblIBHA\/132","collect":"0"}}###{"id":"44","userid":"141"}###null###null###null###null
Personcenter/getusername###5b3042c03d6ef###2018-07-29 15:49:14###{"position":"1","userid":"141"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"position":"1","userid":"141"}###null###null###null###null
Index/zhaopininfo###5b28e641e3829###2018-07-29 15:49:21###{"id":"49","userid":"141"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"id":"49","title":"\u53d1\u5355\u5458","position_id":"1","phone":"13503333962","wage":"60","payment_type":"2","type":"\u5468\u7ed3","end_date":"2021-07-26","job_start":"2018-07-02","job_end":"2018-08-30","worktime":"7:00\u81f39:00","lng":"114.56129","lat":"38.006023","address":"\u5353\u8fbe\u522b\u5885\u533a(\u5353\u8fbe\u522b\u5885\u533a\u5854\u5357\u8def\u535750\u7c73)","descript":"\u53d1\u653e\u4f20\u5355\u4ecb\u7ecd\u6563\u5de5\u8054\u76df\u8f6f\u4ef6\u8ba9\u4eba\u6ce8\u518c\u53d1\u5e03\u4fe1\u606f","realname":"\u77f3\u5bb6\u5e84\u79d1\u4e49\u901a\u4fe1\u5de5\u7a0b\u6709\u9650\u516c\u53f8","userphoto":"https:\/\/wx.qlogo.cn\/mmopen\/vi_32\/Q0j4TwGTfTL9ib4K1eHSmaSrr0zGOVqaYcLmrNC8PNrm675iaNicFuMAib2XFwE2icXZOvG4nIvT9LKkianjDmkjeJYA\/132","collect":"0"}}###{"id":"49","userid":"141"}###null###null###null###null
Personcenter/getusername###5b3042c03d6ef###2018-07-29 15:49:35###{"position":"1","userid":"141"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"position":"1","userid":"141"}###null###null###null###null
Personcenter/switchidentity###5b31e8299f2b6###2018-07-29 15:49:41###{"userid":"141","identity":"2"}###null###null######null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"msg":"\u5207\u6362\u6210\u529f"}}###{"userid":"141","identity":"2"}###null###null###null###null
Index/location###5b21fee04cd72###2018-07-29 15:49:42###{"lng":"113.35836029052734","lat":"23.135196685791016"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"440100","location":"\u5e7f\u4e1c\u7535\u4fe1\u79d1\u6280\u5927\u53a6"}}###{"lng":"113.35836029052734","lat":"23.135196685791016"}###null###null###null###null
Index/index###5b1781ee5e479###2018-07-29 15:49:42###{"city":"440100","position":"2"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054404.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060844.jpg","linkurl":""}],"recommend":[{"rid":"74","title":"\u627e\u5de5\u4f5c","wage":"500","end_date":"\u957f\u671f\u6709\u6548","payment_type":"3","area":"\u88d5\u534e\u533a","type":"\u6708\u7ed3"},{"rid":"69","title":"\u517c\u804c","wage":"100","end_date":"2018-07-22","payment_type":"1","area":"\u6865\u897f\u533a","type":"\u65e5\u7ed3"},{"rid":"68","title":"\u8d85\u5e02\u4e34\u4fc3","wage":"120","end_date":"\u957f\u671f\u6709\u9650","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"rid":"67","title":"\u52aa\u529b\u80fd\u521b\u9020\u5947\u8ff9","wage":"100","end_date":"\u957f\u671f\u6709\u9650","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"}],"hot":[{"rid":"34","title":"\u627e\u5de5\u4f5c","wage":"200"},{"rid":"35","title":"\u6c29\u5f27\u710a","wage":"200"}]}}###{"city":"440100","position":"2"}###null###null###null###null
