User/index###5b1754d09398f###2018-07-08 18:46:50###{"code":"001pq7aw0hg4Hi18bSbw0L5Y9w0pq7aZ"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"userid":"26","position":"1","person":"1","company":"1"}}###{"code":"001pq7aw0hg4Hi18bSbw0L5Y9w0pq7aZ"}###null###null###null###null
User/getinfo###5b2dbbb04457b###2018-07-08 18:46:51###{"userid":"26","username":"\u7fa9\u535a\u5929","userphoto":"https:\/\/wx.qlogo.cn\/mmopen\/vi_32\/Q0j4TwGTfTL9ib4K1eHSmaSrr0zGOVqaYcLmrNC8PNrm675iaNicFuMAib2XFwE2icXZOvG4nIvT9LKkianjDmkjeJYA\/132"}###null###null###V2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":"\u83b7\u53d6\u6210\u529f"}###{"userid":"26","username":"\u7fa9\u535a\u5929","userphoto":"https:\/\/wx.qlogo.cn\/mmopen\/vi_32\/Q0j4TwGTfTL9ib4K1eHSmaSrr0zGOVqaYcLmrNC8PNrm675iaNicFuMAib2XFwE2icXZOvG4nIvT9LKkianjDmkjeJYA\/132"}###null###null###null###null
Index/location###5b21fee04cd72###2018-07-08 18:46:54###{"lng":"114.59359","lat":"37.952183"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u5353\u8fbe\u00b7\u53c8\u4e00\u57ce\u5e7f\u573a"}}###{"lng":"114.59359","lat":"37.952183"}###null###null###null###null
Index/index###5b1781ee5e479###2018-07-08 18:46:54###{"city":"130100","position":"1"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"http:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054323.jpg","linkurl":""},{"photo":"http:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060833.jpg","linkurl":""}],"recommend":[{"id":"25","title":"\u62db\u8058\u524d\u53f0","wage":"100","end_date":"2018-07-20","payment_type":"3","area":"\u88d5\u534e\u533a","type":"\u6708\u7ed3"},{"id":"26","title":"\u62db\u5efa\u7b51\u5de5\u7a0b\u5e08","wage":"150","end_date":"2018-08-03","payment_type":"3","area":"\u88d5\u534e\u533a","type":"\u6708\u7ed3"},{"id":"34","title":"\u4e8c\u9f99\u63a5\u5355","wage":"250","end_date":"2018-07-10","payment_type":"2","area":"\u88d5\u534e\u533a","type":"\u5468\u7ed3"},{"id":"16","title":"\u62db\u805816","wage":"300","end_date":"2018-07-28","payment_type":"2","area":"\u683e\u57ce\u533a","type":"\u5468\u7ed3"}],"hot":[{"id":"16","title":"\u62db\u805816","wage":"300"},{"id":"25","title":"\u62db\u8058\u524d\u53f0","wage":"100"}]}}###{"city":"130100","position":"1"}###null###null###null###null
Fabu/zhiwei###5b17aa44d516a###2018-07-08 18:46:56###{"str":"fsd"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[{"id":"","position_name":"\u5168\u90e8"},{"id":"1","position_name":"\u9500\u552e"},{"id":"2","position_name":"\u5ba2\u670d"},{"id":"3","position_name":"\u4eba\u4e8b\/\u884c\u653f\/\u540e\u52e4"},{"id":"4","position_name":"\u9910\u996e"},{"id":"5","position_name":"\u65c5\u6e38"},{"id":"6","position_name":"\u9152\u5e97"},{"id":"7","position_name":"\u8d85\u5e02\/\u767e\u8d27\/\u96f6\u552e"},{"id":"8","position_name":"\u7f8e\u5bb9\u7f8e\u53d1"},{"id":"9","position_name":"\u8fd0\u52a8\u5065\u8eab"},{"id":"10","position_name":"\u666e\u5de5\/\u6280\u5de5"},{"id":"11","position_name":"\u5efa\u7b51"},{"id":"12","position_name":"\u7269\u4e1a\u7ba1\u7406"},{"id":"13","position_name":"\u623f\u4ea7\u4e2d\u4ecb"},{"id":"14","position_name":"\u6dd8\u5b9d\u804c\u4f4d"},{"id":"15","position_name":"\u8d22\u52a1\/\u5ba1\u8ba1\/\u7edf\u8ba1"},{"id":"16","position_name":"\u6cd5\u5f8b"},{"id":"17","position_name":"\u7ffb\u8bd1"},{"id":"18","position_name":"\u8ba1\u7b97\u673a\/\u4e92\u8054\u7f51\/\u7f51\u7edc"},{"id":"19","position_name":"\u4fdd\u9669"}]}###{"str":"fsd"}###null###null###null###null
Fabu/paytypes###5b30a7a7eeba5###2018-07-08 18:46:56###{"str":"fsd"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[{"id":"","type":"\u5168\u90e8"},{"id":"1","type":"\u65e5\u7ed3"},{"id":"2","type":"\u5468\u7ed3"},{"id":"3","type":"\u6708\u7ed3"}]}###{"str":"fsd"}###null###null###null###null
Fabu/area###5b188f4e99723###2018-07-08 18:46:56###{"pid":"130100"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[{"code":"","region":"\u5168\u90e8"},{"code":"130102","region":"\u957f\u5b89\u533a"},{"code":"130103","region":"\u6865\u4e1c\u533a"},{"code":"130104","region":"\u6865\u897f\u533a"},{"code":"130105","region":"\u65b0\u534e\u533a"},{"code":"130107","region":"\u4e95\u9649\u77ff\u533a"},{"code":"130108","region":"\u88d5\u534e\u533a"},{"code":"130121","region":"\u4e95\u9649\u53bf"},{"code":"130123","region":"\u6b63\u5b9a\u53bf"},{"code":"130124","region":"\u683e\u57ce\u533a"},{"code":"130125","region":"\u884c\u5510\u53bf"},{"code":"130126","region":"\u7075\u5bff\u53bf"},{"code":"130127","region":"\u9ad8\u9091\u53bf"},{"code":"130128","region":"\u6df1\u6cfd\u53bf"},{"code":"130129","region":"\u8d5e\u7687\u53bf"},{"code":"130130","region":"\u65e0\u6781\u53bf"},{"code":"130131","region":"\u5e73\u5c71\u53bf"},{"code":"130132","region":"\u5143\u6c0f\u53bf"},{"code":"130133","region":"\u8d75\u3000\u53bf"},{"code":"130181","region":"\u8f9b\u96c6\u5e02"},{"code":"130182","region":"\u85c1\u57ce\u5e02"},{"code":"130183","region":"\u664b\u5dde\u5e02"},{"code":"130184","region":"\u65b0\u4e50\u5e02"},{"code":"130185","region":"\u9e7f\u6cc9\u5e02"}]}###{"pid":"130100"}###null###null###null###null
Index/zhiwei###5b28e30c5b86a###2018-07-08 18:46:56###{"city":"130100","type":"1"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"total":"4","result":[{"id":"25","title":"\u62db\u8058\u524d\u53f0","end_date":"2018-07-20","wage":"100","payment_type":"3","type":"\u6708\u7ed3","area":"\u88d5\u534e\u533a"},{"id":"26","title":"\u62db\u5efa\u7b51\u5de5\u7a0b\u5e08","end_date":"2018-08-03","wage":"150","payment_type":"3","type":"\u6708\u7ed3","area":"\u88d5\u534e\u533a"},{"id":"34","title":"\u4e8c\u9f99\u63a5\u5355","end_date":"2018-07-10","wage":"250","payment_type":"2","type":"\u5468\u7ed3","area":"\u88d5\u534e\u533a"},{"id":"16","title":"\u62db\u805816","end_date":"2018-07-28","wage":"300","payment_type":"2","type":"\u5468\u7ed3","area":"\u683e\u57ce\u533a"}]}}###{"city":"130100","type":"1"}###null###null###null###null
Personcenter/getusername###5b3042c03d6ef###2018-07-08 18:47:02###{"position":"1","userid":"26"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"realname":"\u5218\u6c38\u4e49"}}###{"position":"1","userid":"26"}###null###null###null###null
Personcenter/switchidentity###5b31e8299f2b6###2018-07-08 18:47:04###{"userid":"26","identity":"2"}###null###null######null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"msg":"\u5207\u6362\u6210\u529f"}}###{"userid":"26","identity":"2"}###null###null###null###null
Index/location###5b21fee04cd72###2018-07-08 18:47:05###{"lng":"114.59358","lat":"37.952194"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u5353\u8fbe\u00b7\u53c8\u4e00\u57ce\u5e7f\u573a"}}###{"lng":"114.59358","lat":"37.952194"}###null###null###null###null
